dummy,climateID,weatherID,jday,date,hour,Srad,wind,RH,rain,tmax,tmin,temperature,CO2
PF,PF_NE2022,PF_NE2022,91,4/1/2022,0,0,,,0,,,4.56,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,1,0,,,0,,,3.93,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,2,0,,,0,,,3.3,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,3,0,,,0,,,2.66004,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,4,0,,,0,,,2.45,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,5,0,,,0,,,2.24,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,6,0,,,0,,,2.02,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,7,0.2552256,,,0,,,3.4,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,8,0.829152,,,0,,,4.78,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,9,1.2007368,,,0,,,6.15,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,10,1.6848612,,,0,,,8.24,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,11,2.1020112,,,0,,,10.34,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,12,2.1953664,,,0,,,12.43,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,13,2.1882924,,,0,,,12.97,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,14,2.0873988,,,0,,,13.51,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,15,2.1680172,,,0,,,14.05,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,16,1.69965,,,0,,,13.39,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,17,1.1253312,,,0,,,12.74,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,18,0.4609728,,,0,,,12.08,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,19,0.0322272,,,0,,,10.13,
PF,PF_NE2022,PF_NE2022,91,4/1/2022,20,0,,,0,,,8.18004,
